n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
12,40,0.1,3,0,0.168290604021113,4739.96309078893,1.8988723383559,0.008,0.009,0.003,0.004,0.191401524724969
12,10,0.1,4,0,0.154792957137594,4486.61026244561,1.61782425677415,0.008,0.012,0.005,0.006,0.186341044582459
10,50,0.1,4,0,0.159442576826801,4331.39164015111,1.74958343467897,0.007,0.014,0.007,0.012,0.161053815366459
10,20,0.1,5,0,0.150242538308437,4480.25879902561,1.37383117647165,0.014,0.039,0.007,0.017,0.159872360612553
12,20,0.1,4,0,0.148263816871318,3976.77681224384,1.66989113069646,0.011,0.019,0.006,0.012,0.132113544413864
10,50,0.15,7,0,0.157064760651209,3553.86434002394,1.42329462965965,0.018,0.037,0.023,0.083,0.031428514686441
8,10,0.1,7,0,0.137369626520829,4916.87468327304,1.21881968475127,0.03,0.094,0.022,0.086,0.029331392209354
5,50,0.1,2,0,0.122424983629779,2345.11485611893,2.45199719149058,0.005,0.008,0.001,0.002,-0.0215189927133325
10,20,0.2,11,0,0.12529512601882,3244.79547803991,1.47231094972123,0.025,0.093,0.015,0.035,-0.0276961950513075
10,50,0.3,11,0,0.099245506447636,3118.0673826864,1.414591742746,0.023,0.065,0.016,0.046,-0.036310298692644
8,10,0.15,9,0,0.0577664412460816,4241.44247291337,1.26332236539144,0.033,0.094,0.017,0.04,-0.040493671647394
10,20,0.15,7,1,0.158534293091101,3903.46552501984,1.45739164988108,0.03,0.079,0.026,0.117,-0.044031595646015
8,10,0.2,12,0,0.0763026548116603,3948.29802300891,1.42600034128321,0.032,0.11,0.018,0.045,-0.0738824781662152
10,50,0.25,9,0,0.037662819057464,3277.35787960857,1.31108570401106,0.019,0.038,0.022,0.074,-0.0825778573632135
10,40,0.2,8,0,0.105733310809519,3075.29372215129,1.51186529732406,0.025,0.053,0.021,0.093,-0.0836885328153225
12,20,0.25,9,0,0.047254349470714,2655.84474080202,1.54856972045543,0.019,0.041,0.022,0.035,-0.091810385534728
12,40,0.25,7,0,0.0599362862604749,3169.21470224584,1.70302573723624,0.021,0.062,0.023,0.038,-0.0959055523508571
10,50,0.35,14,0,0.0991704625017799,2877.54832423705,1.48091115633812,0.028,0.063,0.021,0.079,-0.0960432369201796
12,40,0.3,10,1,0.0827795956949246,2878.56672908237,1.6525284868216,0.026,0.075,0.018,0.039,-0.0965449165331169
