n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,mean_sum,max_sum,score
8,50,0.1,3,0,0.15866295908377,4961.51100275703,1.88525036911052,0.008,0.009,0.003,0.005,0.011,0.014,0.193213472310569
10,40,0.1,3,0,0.140786649858213,4235.60787712835,2.06910056784574,0.007,0.009,0.003,0.003,0.01,0.012,0.123656986930057
12,10,0.15,5,0,0.149697739174465,3415.29959807404,1.65473854902722,0.009,0.014,0.006,0.011,0.015,0.025,0.114988864175445
8,10,0.1,4,0,0.153192595983791,4229.13413132264,1.61611100155557,0.027,0.044,0.012,0.028,0.039,0.072,0.092038202394366
10,20,0.15,5,0,0.129727753807067,3390.09961407805,1.9175433529998,0.01,0.02,0.009,0.018,0.019,0.038,0.0504783992109895
5,10,0.1,2,0,0.136464619895591,2788.05546957648,2.21848064997474,0.004,0.008,0.001,0.002,0.005,0.01,0.039019328376941
8,30,0.1,4,0,0.12882435254938,3866.13391761597,1.85935895583343,0.018,0.037,0.013,0.03,0.031,0.067,0.0381951528468355
8,20,0.15,5,0,0.0997591999473771,3901.74800368836,1.71660979575755,0.014,0.029,0.009,0.033,0.023,0.062,0.0381856205560401
10,30,0.1,6,0,0.0591007392629347,3964.01407233845,1.66324621381237,0.014,0.031,0.007,0.012,0.021,0.043,0.0269768214986202
12,20,0.3,9,0,0.10482646914066,3013.68774306309,1.5217278285104,0.017,0.034,0.012,0.031,0.029,0.065,0.00933807344277449
10,50,0.2,8,0,0.16231893277553,3903.52824546538,1.47644996792216,0.029,0.075,0.022,0.079,0.051,0.154,0.00485034825658295
10,20,0.1,5,0,0.117779893054852,3268.28069015446,1.88654831867343,0.015,0.04,0.01,0.032,0.025,0.072,-0.004460904304768
10,30,0.2,11,0,0.087235699193908,4033.48809700536,1.47171970084713,0.024,0.063,0.018,0.053,0.042,0.116,-0.016261866040537
8,10,0.15,6,0,0.0927703924117999,3416.25269989494,1.54460177400009,0.024,0.057,0.017,0.028,0.041,0.085,-0.0168771499934621
8,50,0.25,8,0,0.105287728751887,3490.9439561717,1.50400493827012,0.026,0.058,0.023,0.044,0.049,0.102,-0.02156556726654
8,50,0.15,6,0,0.110702448155063,3526.58348322228,1.97589438041542,0.024,0.055,0.018,0.034,0.042,0.089,-0.041557815725365
8,40,0.15,5,0,0.0704843791123852,3338.02335655812,1.89307204245106,0.018,0.04,0.012,0.02,0.03,0.06,-0.0419216573048148
10,40,0.3,11,0,0.0877282981098444,2712.51140876958,1.54318789155397,0.022,0.04,0.015,0.037,0.037,0.077,-0.0449649206070736
10,50,0.3,12,0,0.107743148678964,3231.29521243209,1.39023532657977,0.026,0.087,0.017,0.059,0.043,0.146,-0.0587156233574085
