n_layers,n_latent,resolution,n_clusters,silhouette,calinski_harabasz,davies_bouldin,score
10,30,0.15,8,0.1353186,5117.8555,1.33003650454707,3.92313759545293
10,40,0.1,8,0.159428402781487,4881.611328125,1.42176666993413,3.61927306097236
10,40,0.15,11,0.146509036421776,4737.94921875,1.38846664650614,3.49599160866564
10,30,0.1,7,0.03594523,4771.315,1.31912334084072,3.48813688915928
12,10,0.1,4,0.140741869807243,4816.4140625,1.66042493632232,3.29673099598492
10,40,0.2,13,0.108057878911495,4442.4482421875,1.32480643627294,3.22569968482606
12,50,0.1,5,0.161167055368423,4266.19189453125,1.48229429611473,2.94506465378494
12,40,0.1,3,0.17439641058445,4528.0068359375,1.76081126417181,2.94159198235014
10,30,0.2,12,0.09010246,4112.0596,1.3037064230096,2.89845563699039
12,10,0.2,8,0.130857929587364,4278.869140625,1.57330306741207,2.83642400280029
12,50,0.15,6,0.158690854907036,4067.96850585938,1.44554541712947,2.78111394363695
10,40,0.25,16,0.0960908308625221,4087.35668945313,1.47668853814623,2.70675898216942
10,30,0.3,18,0.108196475,3795.1792,1.23947788461529,2.66389779038471
12,50,0.2,6,0.137457743287087,3998.81713867188,1.47737520392003,2.65889967803893
12,10,0.25,8,0.15478153526783,4052.90551757813,1.56184752520072,2.64583952764523
10,30,0.25,8,0.14600533246994,3814.66552734375,1.42964256222804,2.53102829758565
12,20,0.1,4,0.10847732424736,4152.98876953125,1.73407071638788,2.52739537739073
10,40,0.35,22,0.106234058737755,3687.36572265625,1.31082760565451,2.48277217573949
10,30,0.4,20,0.12215919,3630.872,1.3033610582549,2.4496701317451
10,40,0.5,24,0.102727971971035,3705.88696289063,1.35983176662103,2.44878316824064
10,40,0.4,24,0.10680265724659,3645.00244140625,1.31274786322349,2.43905723542935
12,10,0.15,8,0.116625621914864,3782.2548828125,1.48224787941599,2.41663262531137
8,10,0.15,7,0.156348675489426,3636.84375,1.38203728744455,2.41115513804487
10,40,0.3,20,0.0750105902552605,3648.77905273438,1.38051211338134,2.3432775296083
