n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
12,40,0.1,5,0,0.161382160455029,5885.57257804833,1.53458655990744,0.006,0.01,0.004,0.006,0.276202133366702
12,30,0.1,6,0,0.155236768893041,4964.87297054208,1.44411397350939,0.011,0.028,0.004,0.008,0.208069020069206
8,10,0.1,3,0,0.174285743712889,5097.96245330955,1.69289146142602,0.012,0.021,0.008,0.015,0.203894720235765
12,20,0.1,6,0,0.126714742164189,5444.98220107494,1.40386138808678,0.012,0.022,0.009,0.03,0.185577713409258
10,50,0.1,3,0,0.15561547331056,4573.03268614621,1.86858259641592,0.004,0.008,0.002,0.004,0.179408847976279
8,20,0.1,4,0,0.139525284088278,4015.4912937542,1.67267558648801,0.006,0.008,0.004,0.005,0.150032290127187
5,10,0.1,2,0,0.173917980398649,3610.40515395426,1.90730065743068,0.004,0.008,0.001,0.003,0.147708172353294
12,10,0.15,8,0,0.0991327967370881,4419.70493986765,1.30155439584307,0.013,0.026,0.007,0.014,0.129962604146164
8,50,0.1,4,0,0.151006818892261,4496.25123346788,1.74696458695795,0.014,0.027,0.011,0.021,0.12812292186986
12,20,0.15,8,0,0.0916871941859743,4970.64013671951,1.44404094947013,0.015,0.023,0.008,0.025,0.124815106074937
8,30,0.1,4,0,0.132190702458489,3875.38829657219,1.61085818465765,0.008,0.013,0.006,0.014,0.123874298821334
8,40,0.1,3,0,0.14085287609639,4009.51009583222,2.02894577127425,0.005,0.008,0.002,0.003,0.120433803760577
12,10,0.1,7,0,0.0869599017068904,4469.55587332002,1.35007782803742,0.014,0.033,0.008,0.018,0.102429912569149
5,10,0.15,3,0,0.134279725422968,3448.31571195415,2.22367185502367,0.006,0.008,0.003,0.004,0.0633283255183086
10,30,0.15,9,0,0.084106395002869,3944.38511286239,1.42648755119034,0.014,0.03,0.008,0.025,0.0616768955269545
12,30,0.15,9,0,0.0819662267700953,4132.99867725429,1.47251913395086,0.012,0.027,0.01,0.031,0.0613642472377242
12,20,0.2,11,1,0.0882354696754547,4555.92913374879,1.29821540844339,0.019,0.04,0.013,0.056,0.0582103855185548
8,20,0.2,7,0,0.115648284834837,3364.02983476618,1.52676787039242,0.015,0.04,0.008,0.018,0.0501729895339032
8,50,0.25,8,0,0.148898787592707,3440.52386235045,1.49511194188539,0.021,0.046,0.018,0.037,0.0494137865216903
8,40,0.15,5,0,0.0636258014478342,3635.59588102769,1.644837067771,0.009,0.013,0.004,0.007,0.047921888722118
10,30,0.1,6,0,0.0649784822619527,4077.10704319688,1.69987626205388,0.01,0.018,0.007,0.016,0.0478462082164089
8,40,0.25,8,0,0.129776574800502,3195.14524885821,1.48912652414348,0.015,0.034,0.011,0.039,0.0416211848290648
12,20,0.25,12,1,0.0615947646558351,4200.90640913395,1.47389525107636,0.019,0.033,0.01,0.024,0.0382505600048963
10,20,0.1,5,0,0.11478023350439,3640.97075201116,1.72831971603182,0.017,0.042,0.01,0.027,0.0279967995017663
8,20,0.15,6,0,0.134679821630204,3705.86902012575,1.48009518889512,0.018,0.043,0.018,0.079,0.0139637537469801
12,10,0.2,11,0,0.0638278924241833,3880.04026105009,1.4363003847082,0.015,0.044,0.012,0.037,0.00619986700586803
12,30,0.2,11,0,0.0553569308750594,3679.06349071151,1.35686790790377,0.015,0.042,0.01,0.032,0.0046233146202582
10,30,0.3,16,0,0.102027358680481,3530.94053684513,1.35276002781914,0.021,0.063,0.017,0.056,-0.0137016172591771
12,20,0.5,26,6,0.109976199343504,3437.34348241578,1.32758390975216,0.023,0.074,0.018,0.048,-0.0139150175109225
8,20,0.25,9,0,0.135840047103686,3466.33675712205,1.4655922431208,0.021,0.044,0.018,0.096,-0.0164023393522917
12,20,0.45,21,2,0.092985220472094,3557.00049124293,1.35154748011871,0.021,0.041,0.015,0.078,-0.0193195029776304
10,30,0.2,12,0,0.045220477648337,3525.21224653646,1.36989349720764,0.018,0.037,0.013,0.038,-0.0215082597456039
12,40,0.15,10,0,0.0334661797897486,3835.89130777885,1.44266237096885,0.018,0.034,0.012,0.04,-0.0230054919181938
12,20,0.4,19,1,0.0948332895454815,3758.38821588076,1.36093938605558,0.022,0.046,0.016,0.086,-0.0233412382660387
12,40,0.25,14,0,0.10780113953737,4028.44814758996,1.35660082718269,0.02,0.056,0.017,0.112,-0.0314365358014013
12,30,0.35,19,0,0.0756598776143055,3441.07967937285,1.38581180841927,0.021,0.047,0.02,0.055,-0.0338673192589787
10,30,0.25,13,0,0.0808268457255205,3427.73772960606,1.45788789147242,0.021,0.061,0.015,0.055,-0.0455750569414185
12,20,0.6,29,4,0.116081565272315,3402.54203684864,1.27891084272588,0.026,0.071,0.021,0.086,-0.0456824171578411
12,30,0.4,21,2,0.0738848013565776,3226.20886107956,1.34762274326564,0.022,0.055,0.02,0.051,-0.0475670299160078
10,30,0.5,24,3,0.11648118377511,3181.585993876,1.25261806769067,0.025,0.066,0.021,0.091,-0.0527013233001578
12,10,0.3,18,0,0.0928461155540601,3346.27298244039,1.3002909579822,0.024,0.078,0.018,0.064,-0.0538693311221405
12,40,0.3,17,1,0.0767982372741996,3627.33657358419,1.42484174660359,0.022,0.067,0.016,0.069,-0.0583191087069493
12,20,0.35,17,2,0.0685324182897055,3437.90859442601,1.40949148995296,0.021,0.043,0.015,0.081,-0.0605213009842897
10,30,0.35,18,1,0.0837872654118501,3256.99791999962,1.3273690085725,0.023,0.06,0.021,0.071,-0.0610997394454185
10,30,0.4,21,1,0.102109886250056,3214.38567971764,1.34489722715573,0.027,0.073,0.019,0.076,-0.0666605524796353
8,40,0.45,15,0,0.0806932445850273,2662.49667994328,1.55965239592905,0.018,0.046,0.015,0.047,-0.0681471610107136
8,20,0.3,10,0,0.0739199422019177,3246.93372061098,1.50213333131113,0.02,0.045,0.016,0.074,-0.0689467048986457
12,30,0.25,14,1,0.053100965877088,3648.9443552295,1.46812392499686,0.02,0.071,0.014,0.054,-0.0702642088611231
12,10,0.35,20,0,0.0989499858622052,3157.50509634043,1.26687262074668,0.026,0.059,0.022,0.095,-0.0718620213954407
12,20,0.3,14,1,0.0508821760751485,3716.65439008022,1.48735412534136,0.023,0.048,0.016,0.074,-0.073020516954977
8,40,0.5,15,0,0.0729979184836992,2615.42217610659,1.52160350937624,0.02,0.039,0.016,0.05,-0.0733913236485954
8,20,0.4,13,0,0.0638336957655029,2842.88618967583,1.5873051263601,0.018,0.032,0.013,0.058,-0.0737525073867155
12,40,0.4,23,2,0.0858586822428552,3237.73796719907,1.38393148057248,0.027,0.074,0.02,0.066,-0.0776475674544392
8,20,0.35,12,0,0.0823907411961199,2906.16808616503,1.47576635688843,0.02,0.036,0.017,0.087,-0.0798774901844719
8,30,0.35,12,1,0.0770212211647325,2636.95425723365,1.48578598539883,0.025,0.05,0.02,0.046,-0.0807096645134676
12,30,0.5,27,3,0.0912114769512545,3141.76841710019,1.32550996707064,0.026,0.073,0.022,0.087,-0.0922510989007994
8,40,0.35,12,0,0.0563136564271542,2794.29408839547,1.54614742014126,0.018,0.038,0.016,0.063,-0.0935863811671981
12,30,0.3,18,3,0.0411335341648417,3209.04615832518,1.363306188166,0.02,0.07,0.017,0.057,-0.0987447767354996
8,40,0.4,13,0,0.0779683825704645,2779.38412479381,1.49218427091863,0.02,0.046,0.018,0.084,-0.100280838281708
8,10,0.2,8,0,0.0910202046550792,3125.21606153412,1.71928612175611,0.02,0.058,0.023,0.076,-0.101647604443826
8,10,0.25,8,0,0.0671123799156651,3142.38686666084,1.70622447534766,0.017,0.05,0.023,0.072,-0.108390724286059
12,10,0.25,16,0,0.0429951241418211,3298.44405691148,1.38640712891468,0.024,0.065,0.022,0.068,-0.109723385904073
10,30,0.45,24,3,0.0887461806635899,3080.49939558574,1.28715763332895,0.025,0.073,0.025,0.102,-0.110944612890018
8,20,0.45,14,0,0.0740576046284939,2735.27339222962,1.64705330128438,0.02,0.062,0.018,0.063,-0.116884055888463
12,10,0.45,22,0,0.0798466927909219,3038.81796289834,1.2939953122129,0.025,0.067,0.023,0.105,-0.117611940285451
8,10,0.4,10,0,0.0498301331068515,2982.3078299466,1.69305421606989,0.016,0.058,0.019,0.056,-0.119359897002807
8,20,0.5,16,0,0.0796089719155689,2570.0538199617,1.60787155224792,0.022,0.047,0.021,0.078,-0.120675492311138
10,30,0.6,28,2,0.0938368538136327,2860.60870295522,1.29820277422622,0.027,0.089,0.021,0.091,-0.120952988461229
8,40,0.3,12,0,0.0424034071399415,2777.12094308647,1.47645542358081,0.018,0.046,0.015,0.078,-0.123386088063816
8,30,0.2,8,0,0.0628873283643281,3000.43215296716,1.62114851386343,0.024,0.058,0.022,0.075,-0.128205915373657
12,10,0.4,21,1,0.0624033559051077,2862.75858487076,1.30699577448119,0.024,0.064,0.021,0.098,-0.132158292299473
12,30,0.45,23,1,0.0696144900583563,2920.10190683118,1.39822086557396,0.023,0.062,0.021,0.102,-0.132202501157481
12,30,0.6,32,5,0.0856616444366169,2683.13602816527,1.35130416948888,0.026,0.071,0.022,0.1,-0.134311971104008
8,30,0.4,13,0,0.0697917775603438,2743.31167365892,1.58076535535123,0.028,0.063,0.02,0.077,-0.139119174291833
12,10,0.6,28,2,0.0909073716621152,2856.05007572956,1.26871501674307,0.029,0.077,0.027,0.118,-0.144161626225714
8,30,0.25,10,0,0.070059107332883,2852.27772969648,1.5698378052053,0.028,0.064,0.023,0.09,-0.149310786702823
8,30,0.3,11,0,0.055169587229209,2724.93813057742,1.48634193911483,0.026,0.054,0.022,0.092,-0.151217700153403
8,10,0.45,14,0,0.0708036632453622,2585.75003828996,1.62985887696258,0.021,0.072,0.025,0.074,-0.154894722536398
10,10,0.1,4,1,0.1670738269551,3284.77023257891,1.49224865326284,0.031,0.11,0.04,0.156,-0.154912526742238
12,10,0.5,23,1,0.067354470874038,2837.41886557591,1.32040607130746,0.028,0.08,0.026,0.101,-0.157815192977913
8,10,0.35,13,0,0.0549956772326223,2525.64726903811,1.57959180978206,0.025,0.066,0.026,0.068,-0.161681140293678
8,20,0.6,18,0,0.0568841563632362,2466.25236961287,1.47537849168502,0.022,0.076,0.022,0.076,-0.163341074324622
10,50,0.6,22,1,0.0431954921309778,2022.53713049631,1.57608071430752,0.026,0.071,0.017,0.044,-0.171285722774959
8,10,0.3,10,0,0.0061272450339257,2796.99842377586,1.55833043047587,0.019,0.051,0.024,0.071,-0.174855876824868
10,20,0.6,19,0,0.0425296089787056,2129.14911862494,1.55875672024136,0.033,0.076,0.018,0.041,-0.174888607114183
8,50,0.15,6,1,0.168571900602465,3736.63350918719,1.39307911072653,0.032,0.137,0.038,0.184,-0.174904335010829
8,30,0.15,6,0,0.00482764472081097,3182.26034100735,1.53192487800969,0.024,0.06,0.025,0.088,-0.18625182602979
10,40,0.25,9,1,0.114032464304431,3160.47510935757,1.40913576569581,0.027,0.119,0.031,0.141,-0.186857356797271
8,30,0.5,17,1,0.0481777585813155,2584.98097077933,1.49633832651809,0.028,0.066,0.024,0.097,-0.187207025531527
10,40,0.4,12,1,0.11561637228748,3044.76279914818,1.43935088779954,0.026,0.119,0.027,0.141,-0.189080576535066
10,40,0.3,10,1,0.113302338012884,3072.61037861152,1.41817883782332,0.027,0.119,0.029,0.141,-0.190885026838872
10,40,0.2,7,1,0.119346202191465,3193.49068322034,1.55959173578573,0.028,0.119,0.026,0.141,-0.190938437226091
10,40,0.15,7,1,0.115640821860594,3098.82190818981,1.507140053366,0.027,0.119,0.027,0.141,-0.194132088066515
10,10,0.15,6,1,0.148717795457264,3246.83597180043,1.48293853735561,0.027,0.121,0.035,0.175,-0.195234259688275
10,20,0.25,8,0,-0.028590943385713,2798.21413931643,1.70379664645747,0.025,0.079,0.012,0.026,-0.201059901065638
10,40,0.1,5,1,0.108492233363792,3089.23013728876,1.44674720488524,0.029,0.119,0.031,0.141,-0.201720980260294
10,10,0.2,7,1,0.119255142057399,3035.25426859927,1.54365510946003,0.025,0.11,0.029,0.156,-0.20334765545864
8,30,0.6,21,1,0.0603388258153234,2306.52288383825,1.48380132421655,0.034,0.097,0.028,0.074,-0.205715162414419
